Date,Open,High,Low,Close,Adj Close,Volume
2012-11-29,24.000000,24.350000,23.920000,24.260000,22.270905,969700
2012-11-30,24.240000,24.420000,24.120001,24.230000,22.243362,1050800
2012-12-03,24.340000,24.400000,23.809999,23.889999,21.931242,1405200
2012-12-04,23.889999,24.160000,23.870001,24.160000,22.179100,1141800
2012-12-05,24.190001,24.260000,23.639999,23.670000,21.729277,2659500
2012-12-06,23.670000,23.820000,23.450001,23.690001,21.747633,2021100
2012-12-07,23.809999,23.920000,23.600000,23.709999,21.765997,808700
2012-12-10,23.750000,23.940001,23.440001,23.480000,21.554853,1219200
2012-12-11,23.639999,23.690001,23.469999,23.559999,21.628292,1407300
2012-12-12,23.500000,24.740000,23.400000,24.309999,22.440628,4559400
2012-12-13,24.180000,24.459999,24.180000,24.330000,22.459089,2352500
2012-12-14,23.959999,24.389999,23.959999,24.200001,22.339088,1562600
2012-12-17,24.330000,24.690001,24.260000,24.680000,22.782179,1399100
2012-12-18,24.610001,25.230000,24.469999,25.209999,23.271420,1812000
2012-12-19,25.090000,25.420000,25.080000,25.219999,23.280645,1483900
2012-12-20,26.750000,26.799999,25.680000,26.110001,24.102215,5394100
2012-12-21,25.840000,25.840000,25.290001,25.490000,23.529888,2542900
2012-12-24,25.590000,25.590000,25.180000,25.219999,23.280645,508900
2012-12-26,25.270000,25.350000,25.070000,25.160000,23.225266,623100
2012-12-27,25.209999,25.209999,24.830000,25.049999,23.123728,814400
2012-12-28,24.879999,25.129999,24.830000,24.889999,22.976027,1254800
2012-12-31,24.879999,25.030001,24.750000,24.990000,23.068335,712800
2013-01-02,25.410000,25.760000,25.280001,25.760000,23.779127,1310600
2013-01-03,25.750000,26.629999,25.270000,26.379999,24.351450,3502900
2013-01-04,26.309999,26.500000,26.180000,26.480000,24.443758,1383900
2013-01-07,26.469999,26.469999,26.150000,26.270000,24.249910,862900
2013-01-08,26.180000,26.240000,25.950001,26.100000,24.092985,985500
2013-01-09,26.010000,26.480000,26.010000,26.370001,24.342222,914700
2013-01-10,26.500000,26.629999,26.370001,26.629999,24.582222,930600
2013-01-11,26.480000,26.610001,26.400000,26.580000,24.536070,671500
2013-01-14,26.610001,26.770000,26.490000,26.719999,24.665306,1063300
2013-01-15,26.719999,26.840000,26.500000,26.790001,24.729921,800500
2013-01-16,26.700001,27.070000,26.639999,26.850000,24.785309,1104200
2013-01-17,26.959999,27.200001,26.790001,27.070000,24.988390,960600
2013-01-18,27.129999,27.260000,27.030001,27.129999,25.043777,693300
2013-01-22,27.200001,27.510000,27.110001,27.500000,25.385324,971100
2013-01-23,27.480000,27.500000,27.100000,27.379999,25.274548,859500
2013-01-24,27.389999,27.590000,27.389999,27.510000,25.394558,770700
2013-01-25,27.700001,27.719999,27.370001,27.700001,25.569944,621200
2013-01-28,27.629999,27.910000,27.530001,27.780001,25.643797,869200
2013-01-29,27.709999,27.990000,27.650000,27.900000,25.754566,1225200
2013-01-30,27.830000,28.000000,27.770000,27.969999,25.819183,981900
2013-01-31,27.780001,28.490000,27.400000,28.320000,26.142269,2172200
2013-02-01,28.620001,29.059999,28.410000,28.639999,26.437664,1825800
2013-02-04,28.570000,28.610001,28.120001,28.360001,26.179193,1114800
2013-02-05,28.590000,28.920000,28.270000,28.809999,26.594593,1406800
2013-02-06,28.639999,29.030001,28.500000,29.000000,26.769981,1019000
2013-02-07,28.969999,29.290001,28.830000,29.260000,27.009991,942700
2013-02-08,29.400000,29.490000,29.139999,29.469999,27.203833,863800
2013-02-11,29.490000,32.150002,29.320000,30.379999,28.043861,6707500
2013-02-12,31.330000,31.650000,29.930000,30.549999,28.200790,3385000
2013-02-13,30.440001,31.700001,30.440001,31.650000,29.216206,3210700
2013-02-14,31.510000,31.510000,30.410000,30.600000,28.246939,5653100
2013-02-15,30.559999,31.799999,30.520000,31.070000,28.680805,2765600
2013-02-19,31.240000,31.570000,31.100000,31.490000,29.068506,1285000
2013-02-20,31.379999,31.520000,30.990000,31.049999,28.662338,1421200
2013-02-21,31.030001,31.240000,30.750000,30.980000,28.597721,1077800
2013-02-22,31.040001,31.440001,31.030001,31.360001,28.948502,1740000
2013-02-25,31.520000,31.780001,30.820000,30.830000,28.459263,1179400
2013-02-26,31.139999,31.730000,31.059999,31.450001,29.031580,1847900
2013-02-27,31.250000,31.879999,31.250000,31.790001,29.345440,1016800
2013-02-28,31.799999,31.900000,31.620001,31.660000,29.225435,1164300
2013-03-01,31.600000,31.700001,31.180000,31.580000,29.151583,1613000
2013-03-04,31.440001,32.049999,31.309999,32.029999,29.566978,1628400
2013-03-05,32.080002,32.830002,32.080002,32.450001,29.954683,1919000
2013-03-06,32.450001,32.790001,32.169998,32.230000,29.751602,1427800
2013-03-07,32.299999,32.380001,31.969999,32.000000,29.539289,1432000
2013-03-08,32.230000,32.349998,31.969999,32.029999,29.566978,1147500
2013-03-11,32.009998,32.389999,31.920000,32.310001,29.825455,681000
2013-03-12,32.049999,32.240002,32.000000,32.099998,29.751305,943000
2013-03-13,32.110001,32.340000,31.910000,32.119999,29.769836,958700
2013-03-14,32.200001,32.779999,32.180000,32.599998,30.214714,846400
2013-03-15,32.770000,32.889999,32.430000,32.570000,30.186913,1779200
2013-03-18,32.169998,32.470001,32.000000,32.310001,29.945940,744200
2013-03-19,32.340000,32.400002,31.430000,31.990000,29.649351,1555700
2013-03-20,32.060001,32.220001,31.870001,31.940001,29.603006,1393300
2013-03-21,31.860001,32.389999,31.840000,32.040001,29.695690,1202400
2013-03-22,32.189999,32.439999,32.000000,32.360001,29.992283,749300
2013-03-25,32.439999,32.709999,32.029999,32.139999,29.788374,846700
2013-03-26,32.290001,32.540001,32.230000,32.509998,30.131298,750800
2013-03-27,32.160000,32.509998,31.950001,32.380001,30.010813,969300
2013-03-28,32.290001,32.400002,32.110001,32.299999,29.936665,1112400
2013-04-01,32.279999,32.500000,31.959999,32.009998,29.667881,690200
2013-04-02,30.110001,30.110001,27.719999,27.910000,25.867874,11443600
2013-04-03,28.010000,28.600000,27.870001,28.270000,26.201538,3979100
2013-04-04,28.389999,28.870001,28.330000,28.570000,26.479586,2353200
2013-04-05,28.360001,28.889999,28.360001,28.760000,26.655684,2477900
2013-04-08,28.770000,29.010000,28.510000,29.000000,26.878126,1437400
2013-04-09,29.090000,29.150000,28.350000,28.750000,26.646416,1806600
2013-04-10,28.709999,29.010000,28.709999,29.000000,26.878126,2028500
2013-04-11,28.980000,29.420000,28.910000,29.170000,27.035683,1754500
2013-04-12,29.110001,29.219999,28.910000,29.180000,27.044954,1218900
